zip,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
85035,04013112504,PHOENIX,AZ,0.037815673,0.013157895,0,0.03694131
85035,04013112505,PHOENIX,AZ,0.092488935,0.05,0.100840336,0.091533758
85035,04013112502,PHOENIX,AZ,0.083767248,0.057894737,0.050420168,0.082897308
85006,04013111800,PHOENIX,AZ,0.001434995,0.043367347,0.008238929,0.006042296
85006,04013113100,PHOENIX,AZ,0.001339328,0.005102041,0.004119464,0.002063223
85006,04013113202,PHOENIX,AZ,0.088013011,0.051870748,0.096807415,0.086139562
85006,04013113000,PHOENIX,AZ,0,0.004251701,0.000514933,0.000442119
85006,04013113300,PHOENIX,AZ,0.197455276,0.215986395,0.38053553,0.225259745
85006,04013111602,PHOENIX,AZ,0.137472496,0.150510204,0.181256437,0.144867733
85006,04013114000,PHOENIX,AZ,0.032143882,0.037414966,0.004119464,0.028590377
85006,04013111700,PHOENIX,AZ,0.243279441,0.230442177,0.111740474,0.223343895
85006,04013113900,PHOENIX,AZ,0.008609968,0.034013605,0.002574665,0.009947683
85006,04013113201,PHOENIX,AZ,0.087630345,0.048469388,0.081359423,0.083339474
85006,04013113203,PHOENIX,AZ,0.104945949,0.153061224,0.083419156,0.106034927
85006,04013111601,PHOENIX,AZ,0.097675309,0.025510204,0.045314109,0.083928966
85086,04013610400,PHOENIX,AZ,0.118709136,0.026722925,0.004455761,0.105788002
85086,04013610100,PHOENIX,AZ,0.012656709,0,0,0.011132802
85086,04013610200,PHOENIX,AZ,0.225061484,0.087201125,0.014640356,0.202448161
85086,04013612000,PHOENIX,AZ,0,0.00140647,0.000636537,0.000105524
85086,04013610600,PHOENIX,AZ,0.147801572,0.135021097,0.389560789,0.167361368
85086,04013610500,PHOENIX,AZ,0.17161538,0.007032349,0.010184596,0.15206036
85086,04013610300,PHOENIX,AZ,0.203167177,0.35583685,0.554423934,0.238009814
85086,04013611300,PHOENIX,AZ,5.99844E-05,0,0,5.27621E-05
85086,04013610000,PHOENIX,AZ,0.025673325,0.386779184,0.023551878,0.039043951
85086,04013610700,PHOENIX,AZ,0.095255234,0,0.002546149,0.083997256
85037,04013082007,PHOENIX,AZ,0.083948455,0.011945392,0.245714286,0.083119365
85037,04013092720,PHOENIX,AZ,0,0.005119454,0,0.000179137
85037,04013092719,PHOENIX,AZ,0.016326786,0.005119454,0.011428571,0.015883442
85037,04013082012,PHOENIX,AZ,0.13711998,0.150170648,0.165714286,0.13787544
85037,04013082010,PHOENIX,AZ,0.060052546,0.054607509,0.022857143,0.059473339
85037,04013082008,PHOENIX,AZ,0.094082322,0.010238908,0,0.090165403
85037,04013082016,PHOENIX,AZ,0.060177655,0.223549488,0.091428571,0.066220816
85037,04013082028,PHOENIX,AZ,0.11347429,0.040955631,0.057142857,0.110348122
85037,04013082017,PHOENIX,AZ,0.091517578,0.26109215,0.097142857,0.097510002
85037,04013082009,PHOENIX,AZ,0.084949331,0.034129693,0.022857143,0.082522243
85037,04013082018,PHOENIX,AZ,0.093456775,0.030716724,0.04,0.090702812
85037,04013082002,PHOENIX,AZ,0.164894282,0.172354949,0.245714286,0.165999881
85016,04013108301,PHOENIX,AZ,0.000279005,0,0,0.000222091
85016,04013110701,PHOENIX,AZ,0.06114857,0.045007378,0.070588235,0.059224163
85016,04013105102,PHOENIX,AZ,0.016693792,0.000491884,0.000692042,0.013399467
85016,04013110801,PHOENIX,AZ,0.115833527,0.042302017,0.087197232,0.10323512
