GEOID10,GEOID20,WEIGHT,PAREA
40130101013019,40130101042013,0.066441867,0.367369519
40130101013019,40130101042014,0.451809883,0.341094302
40130101013019,40130101042028,0.48174825,0.29153618
40130101013020,40130101042014,1,1
40130101013021,40130101042013,1,1
40130101013022,40130101042028,1,0.291313892
40130101013022,40130101042030,0,0.708686108
40130101013023,40130101042036,0.295681759,0.294201585
40130101013023,40130101042053,0.044483257,0.318923064
40130101013023,40130101042054,0.659834983,0.386875351
40130101013024,40130101042060,1,1
40130101013025,40130101042055,1,1
40130101013026,40130101042036,1,1
40130101013027,40130101042036,1,1
40130101013028,40130101042037,1,1
40130101013029,40130101042038,1,1
40130101013030,40130101042036,1,1
40130101013031,40130101042035,1,1
40130101013032,40130101042039,1,1
40130101013033,40130101042040,1,1
40130101013034,40130101042043,0.531371319,0.641609582
40130101013034,40130101042052,0.468628681,0.358390418
40130101013035,40130101042042,1,1
40130101013036,40130101042045,1,1
40130101013037,40130101042043,1,1
40130101013038,40130101042047,1,1
40130101013039,40130101042044,1,1
40130101013040,40130101042046,1,1
40130101013041,40130101042023,0.597222222,0.618949143
40130101013041,40130101042041,0.402777778,0.381050857
40130101013042,40130101042024,1,1
40130101013043,40130101042025,1,1
40130101013044,40130101042025,1,1
40130101013045,40130101042043,1,1
40130101013046,40130101042031,0.452380952,0.552912223
40130101013046,40130101042051,0.547619048,0.447087777
40130101013047,40130101042057,1,1
40130101013048,40130101042049,1,1
40130101013049,40130101042050,1,1
40130101013050,40130101042018,1,1
40130101013051,40130101042018,1,1
40130101013052,40130101042020,0.330241008,0.396897843
40130101013052,40130101042047,0.669758992,0.603102157
40130101013052,40130101042048,0,0
40130101013053,40130101042022,1,1
40130101013054,40130101042021,1,1
40130101013055,40130101042047,1,1
40130101013056,40130101042056,1,1
40130101013057,40130101042032,0.430107527,0.421058725
40130101013057,40130101042034,0.569892473,0.578941275
40130101013058,40130101042033,1,1
40130101013059,40130101042058,1,1
40130101013060,40130101042059,1,1
40130101013061,40130101042027,1,1
40130101013062,40130101042010,1,1
40130101021000,40130101021000,0,0.984965414
40130101021000,40130101021010,0,0.010159868
40130101021000,40130101021049,1,0.004874718
40130101021001,40130101021279,1,1
40130101021002,40130101021057,1,1
40130101021003,40130101021057,1,1
40130101021004,40130101021000,0,0.450499546
40130101021004,40130101021049,1,0.549500454
40130101021005,40130101021001,1,1
40130101021006,40130101021000,1,1
40130101021007,40130101021007,0,0.178948259
40130101021007,40130101021008,1,0.017111462
40130101021007,40130101021261,0,0.720295821
40130101021007,40130101021262,0,0.083644458
40130101021008,40130101021000,1,1
40130101021009,40130101021000,1,1
40130101021010,40130101021049,1,1
40130101021011,40130101021049,1,1
40130101021012,40130101021000,1,1
40130101021013,40130101021057,1,1
40130101021014,40130101021057,1,1
40130101021015,40130101021057,1,1
40130101021016,40130101021057,1,1
40130101021017,40130101021279,1,1
40130101021018,40130101021002,1,1
40130101021019,40130101021000,1,1
40130101021020,40130101021279,1,1
40130101021021,40130101021279,1,1
40130101021022,40130101021057,1,1
40130101021023,40130101021049,1,1
40130101021024,40130101021009,1,1
40130101021025,40130101021279,1,1
40130101021026,40130101021057,1,1
40130101021027,40130101021049,1,1
40130101021028,40130101021045,0.051303627,0.076739786
40130101021028,40130101021046,0,0.305551988
40130101021028,40130101021047,0,0.200695231
40130101021028,40130101021048,0.948696373,0.260191015
40130101021028,40130101021278,0,0.156821979
40130101021029,40130101021000,1,1
40130101021030,40130101021049,1,1
40130101021031,40130101021000,1,1
40130101021032,40130101021057,0.836496055,0.836496055
40130101021032,40130101021279,0.163503945,0.163503945
40130101021033,40130101021279,1,1
40130101021034,40130101021057,1,1
40130101021035,40130101021057,1,1
40130101021036,40130101021057,1,1
40130101021037,40130101021005,1,1
40130101021038,40130101021057,1,1
40130101021039,40130101021057,1,1
40130101021040,40130101021057,1,1
40130101021041,40130101021057,1,1
40130101021042,40130101021057,1,1
40130101021043,40130101021000,1,1
40130101021044,40130101021000,1,1
40130101021045,40130101021003,0.094058066,0.094058066
40130101021045,40130101021004,0.905941934,0.905941934
40130101021046,40130101021000,1,1
40130101021047,40130101021057,1,1
40130101021048,40130101021057,1,1
40130101021049,40130101021057,1,1
40130101021050,40130101021006,1,1
40130101021051,40130101021008,1,1
40130101021052,40130101021000,1,1
40130101021053,40130101021000,1,1
40130101021054,40130101021069,1,1
40130101021055,40130101021057,1,1
40130101021056,40130101021057,1,1
40130101021057,40130101021057,1,1
40130101021058,40130101021000,1,1
40130101021059,40130101021000,0.032820373,0.032820373
40130101021059,40130101021011,0.967179627,0.967179627
40130101021060,40130101021011,1,1
40130101021061,40130101021012,0.22543206,0.22543206
40130101021061,40130101021015,0.77456794,0.77456794
40130101021062,40130101021014,1,1
40130101021063,40130101021016,1,1
40130101021064,40130101021013,1,1
40130101021065,40130101021013,1,1
40130101021066,40130101021013,1,1
40130101021067,40130101021013,1,1
40130101021068,40130101021013,1,1
40130101021069,40130101021013,1,1
40130101021070,40130101021018,1,1
40130101021071,40130101021021,0.900934834,0.900934834
40130101021071,40130101021046,0.099065166,0.099065166
40130101021072,40130101021018,1,1
40130101021073,40130101021018,1,1
40130101021074,40130101021013,1,1
40130101021075,40130101021015,1,1
40130101021076,40130101021013,1,1
40130101021077,40130101021025,1,1
40130101021078,40130101021027,1,1
40130101021079,40130101021026,1,1
40130101021080,40130101021018,0.99998403,0.99998403
40130101021080,40130101021022,1.60E-05,1.60E-05
40130101021081,40130101021018,1,1
40130101021082,40130101021019,1,1
40130101021083,40130101021022,1,1
40130101021084,40130101021018,1,1
40130101021085,40130101021018,0.007234786,0.007234786
40130101021085,40130101021022,0.992765214,0.992765214
40130101021086,40130101021019,1,0.390515375
40130101021086,40130101021020,0,0.363411787
40130101021086,40130101021022,0,0.246072838
40130101021087,40130101021018,1,1
40130101021088,40130101021018,0,0.001230674
40130101021088,40130101021019,1,0.998769326
40130101021089,40130101021023,1,1
40130101021090,40130101021023,1,1
40130101021091,40130101021024,1,1
40130101021092,40130101021287,1,1
40130101021093,40130101021287,1,1
40130101021094,40130101021286,1,1
40130101021095,40130101021286,1,1
40130101021096,40130101021022,1,1
40130101021097,40130101021018,0,0.023113132
40130101021097,40130101021019,1,0.976886868
40130101021098,40130101021019,1,1
40130101021099,40130101021019,1,1
40130101021100,40130101021019,1,1
40130101021101,40130101021017,0.083599045,0.083599045
40130101021101,40130101021029,0.916400955,0.916400955
40130101021102,40130101021029,1,1
40130101021103,40130101021029,1,1
40130101021104,40130101021028,1,1
40130101021105,40130101021028,1,1
40130101021106,40130101021028,1,1
40130101021107,40130101021046,1,1
40130101021108,40130101021028,1,1
40130101021109,40130101021046,1,1
40130101021110,40130101021046,1,1
40130101021111,40130101021028,1,1
40130101021112,40130101021279,1,1
40130101021113,40130101021057,1,1
40130101021114,40130101021057,1,1
40130101021115,40130101021279,1,1
40130101021116,40130101021279,1,1
40130101021117,40130101021057,1,1
40130101021118,40130101021279,1,1
40130101021119,40130101021279,1,1
40130101021120,40130101021028,1,1
40130101021121,40130101021031,1,1
40130101021122,40130101021030,1,1
40130101021123,40130101021018,0.467869517,0.467869517
40130101021123,40130101021282,0.532130483,0.532130483
40130101021124,40130101021018,1,1
40130101021125,40130101021282,1,1
40130101021126,40130101021032,1,0.982305039
40130101021126,40130101021284,0,0.017694961
40130101021127,40130101021032,1,1
40130101021128,40130101021044,1,1
40130101021129,40130101021032,1,1
40130101021130,40130101021033,1,1
40130101021131,40130101021032,1,1
40130101021132,40130101021032,1,1
40130101021133,40130101021032,1,1
40130101021134,40130101021033,1,1
40130101021135,40130101021018,1,1
40130101021136,40130101021045,1,1
40130101021137,40130101021045,1,1
40130101021138,40130101021045,1,1
40130101021139,40130101021045,1,1
40130101021140,40130101021042,1,1
40130101021141,40130101021043,1,1
40130101021142,40130101021040,1,1
40130101021143,40130101021042,1,1
40130101021144,40130101021041,1,1
40130101021145,40130101021045,1,0.144929632
40130101021145,40130101021288,0,0.855070368
40130101021146,40130101021045,1,0.996037669
40130101021146,40130101021288,0,0.003962331
40130101021147,40130101021075,1,1
40130101021148,40130101021048,1,1
40130101021149,40130101021057,1,1
40130101021150,40130101021045,1,1
40130101021151,40130101021057,1,1
40130101021152,40130101021057,1,1
40130101021153,40130101021069,1,1
40130101021154,40130101021057,1,1
40130101021155,40130101021057,1,1
40130101021156,40130101021057,1,1
40130101021157,40130101021048,1,1
40130101021158,40130101021057,1,1
40130101021159,40130101021057,1,1
40130101021160,40130101021057,1,1
40130101021161,40130101021045,1,1
40130101021162,40130101021057,1,1
40130101021163,40130101021075,1,1
40130101021164,40130101021075,1,1
40130101021165,40130101021075,1,1
40130101021166,40130101021075,1,1
40130101021167,40130101021075,0.999645687,0.999645687
40130101021167,40130101021079,4.90E-05,4.90E-05
40130101021167,40130101021141,0.000305314,0.000305314
40130101021168,40130101021075,1,1
40130101021169,40130101021113,1,1
40130101021170,40130101021113,1,1
40130101021171,40130101021073,0.202232695,0.428703681
40130101021171,40130101021075,0,0.000576008
40130101021171,40130101021077,0,0.035550713
40130101021171,40130101021078,0.584384795,0.02940109
40130101021171,40130101021079,0,0.037410446
40130101021171,40130101021084,0,0.242541236
40130101021171,40130101021092,0,0.077715656
40130101021171,40130101021104,0,0.031449777
40130101021171,40130101021112,0,0.024706569
40130101021171,40130101021113,0.21338251,0.091944825
40130101021172,40130101021102,1,1
40130101021173,40130101021099,1,1
40130101021174,40130101021085,0.529411765,0.468748076
40130101021174,40130101021136,0.470588235,0.531251924
40130101021175,40130101021078,1,1
40130101021176,40130101021075,1,1
40130101021177,40130101021076,0.448394707,0.448394707
40130101021177,40130101021082,0.551605293,0.551605293
40130101021178,40130101021074,1,1
40130101021179,40130101021093,0,0.144190712
40130101021179,40130101021097,0,0.156403194
40130101021179,40130101021098,0.895522388,0.531497971
40130101021179,40130101021105,0.104477612,0.167908123
40130101021180,40130101021101,1,1
40130101021181,40130101021103,1,1
40130101021182,40130101021116,1,1
40130101021183,40130101021078,1,1
40130101021184,40130101021168,1,1
40130101021185,40130101021111,1,1
40130101021186,40130101021088,0.205882353,0.051589864
40130101021186,40130101021090,0,0.033748583
40130101021186,40130101021091,0.411764706,0.70152368
40130101021186,40130101021094,0.382352941,0.213137873
40130101021187,40130101021081,1,1
40130101021188,40130101021075,0.000134646,0.000134646
40130101021188,40130101021141,0.999865354,0.999865354
40130101021189,40130101021141,1,1
40130101021190,40130101021075,1,1
40130101021191,40130101021141,1,1
40130101021192,40130101021142,1,1
40130101021193,40130101021075,1,1
40130101021194,40130101021080,1,1
40130101021195,40130101021045,1,0.913396966
40130101021195,40130101021080,0,0.086603034
40130101021196,40130101021045,1,1
40130101021197,40130101021069,1,1
40130101021198,40130101021069,1,1
40130101021199,40130101021045,1,1
40130101021200,40130101021069,1,1
40130101021201,40130101021069,1,1
40130101021202,40130101021049,1,1
40130101021203,40130101021049,1,1
40130101021204,40130101021000,0,0.000407922
40130101021204,40130101021049,1,0.999592078
40130101021205,40130101021049,1,1
40130101021206,40130101021063,1,1
40130101021207,40130101021149,1,1
40130101021208,40130101021149,1,1
