geoid20,aland20,awater20,lat20,lon20,name,land_acre
4.01312E+13,202945,0,33.2918653,-112.0167128,Ahwatukee Foothills,50.14872423
4.01311E+13,16431,0,33.52101,-112.0509881,Camelback East,4.060182255
4.01311E+13,37317,0,33.5449581,-112.0944343,Alhambra,9.221217285
4.01312E+13,19613,0,33.3883895,-111.9855911,South Mountain,4.846470365
4.0131E+13,3444,0,33.6380086,-112.1690628,Deer Valley,0.85102962
4.01361E+13,17963,0,33.7520341,-111.9731742,Desert View,4.438747115
4.0131E+13,80505,0,33.610661,-111.9670498,Paradise Valley,19.89318803
4.01312E+13,285422,0,33.3284798,-112.0088358,Ahwatukee Foothills,70.52920331
4.01311E+13,11618,0,33.499577,-112.2170643,Maryvale,2.87086589
4.01311E+13,918984,0,33.4119485,-112.1381049,Estrella,227.0855413
4.0131E+13,27692,0,33.5985173,-112.0424361,Paradise Valley,6.84283166
4.01312E+13,42419,0,33.3821135,-112.1399147,Laveen,10.481947
4.01312E+13,13214,0,33.386738,-112.1623046,Laveen,3.26524547
4.0131E+13,53428,0,33.6022182,-111.9391627,Paradise Valley,13.20232594
4.01311E+13,26382,0,33.5046948,-112.184937,Maryvale,6.51912411
4.01312E+13,51909,0,33.3938731,-111.9944957,South Mountain,12.82697345
4.01311E+13,33178,0,33.5010291,-112.2042572,Maryvale,8.19844969
4.01312E+13,51824,0,33.4172828,-111.9983518,South Mountain,12.80596952
4.01311E+13,31810,0,33.525805,-112.145089,Alhambra,7.86041005
4.01311E+13,95215,0,33.5258023,-112.0635146,Camelback East,23.52810258
4.01312E+13,99254,0,33.3834102,-112.0856027,South Mountain,24.52615967
4.01311E+13,13276,0,33.5215078,-112.1368473,Alhambra,3.28056598
4.01361E+13,65165,0,33.7922051,-111.9859519,Desert View,16.10259733
4.0131E+13,66975,0,33.6233675,-112.1458422,Deer Valley,16.54985738
4.01312E+13,25235,0,33.3402305,-112.0026102,Ahwatukee Foothills,6.235694675
4.01308E+13,148921,0,33.4077026,-112.277443,Estrella,36.79912371
4.01311E+13,20575,0,33.4662722,-112.0792585,Encanto,5.084185375
4.01311E+13,22513,0,33.4985587,-111.9772544,Camelback East,5.563074865
4.01361E+13,52779,0,33.7926013,-112.0723144,Desert View,13.0419548
4.01311E+13,20832,0,33.4810986,-112.2124809,Maryvale,5.14769136
4.01308E+13,42173,0,33.4870843,-112.2553061,Maryvale,10.42115917
4.01361E+13,2195,0,33.7128307,-112.1200599,Deer Valley,0.542395475
4.01312E+13,31447,0,33.3834628,-112.0457045,South Mountain,7.770710935
4.01308E+13,53761,0,33.4823476,-112.25135,Maryvale,13.28461191
4.01311E+13,19991,0,33.4753453,-112.0793217,Encanto,4.939876055
4.01311E+13,17476,0,33.4782637,-112.1890611,Maryvale,4.31840698
4.01312E+13,38067,0,33.3179246,-111.9849647,Ahwatukee Foothills,9.406546035
4.01311E+13,20688,0,33.4662096,-112.048748,Encanto,5.11210824
4.01361E+13,35805,0,33.7198223,-112.1473807,Deer Valley,8.847594525
4.0131E+13,21668,0,33.5985149,-112.1569877,North Mountain,5.35427114
4.01311E+13,13514,0,33.482963,-112.1368378,Maryvale,3.33937697
4.01361E+13,13599,0,33.7016399,-112.1519502,Deer Valley,3.360380895
4.01361E+13,16837,0,33.7439537,-111.9862922,Desert View,4.160506885
4.0131E+13,8893,0,33.6002562,-112.1378539,North Mountain,2.197504765
4.0131E+13,30545,0,33.6218744,-112.1318386,North Mountain,7.547822225
4.01311E+13,22648,0,33.4393341,-112.0902176,Central City,5.59643404
4.01362E+13,25996,0,33.6519429,-112.105972,Deer Valley,6.42374158
4.01311E+13,19945,0,33.498198,-112.231023,Maryvale,4.928509225
4.01311E+13,16213,0,33.5146533,-112.0595297,Camelback East,4.006313365
4.01361E+13,6570,0,33.709771,-112.0924306,Deer Valley,1.62347985
4.01311E+13,5763,0,33.4651899,-112.1743856,Maryvale,1.424066115
4.0131E+13,169908,0,33.5845695,-112.0151508,Paradise Valley,41.98511634
4.01312E+13,4553,0,33.4843147,-112.1108133,Encanto,1.125069065
4.0131E+13,19118,0,33.6208588,-112.1112283,North Mountain,4.72415339
4.0131E+13,23965,0,33.6107412,-111.9441071,Paradise Valley,5.921871325
4.01362E+13,26134,0,33.6460328,-111.9855648,Paradise Valley,6.45784207
4.0131E+13,80845,0,33.6314379,-112.148848,Deer Valley,19.97720373
4.01312E+13,30623,0,33.3985336,-112.0443144,South Mountain,7.567096415
4.01311E+13,35999,0,33.5343905,-112.0892209,Alhambra,8.895532895
4.0131E+13,22855,0,33.5879829,-112.0493731,North Mountain,5.647584775
4.01311E+13,15741,0,33.475351,-111.9723555,Camelback East,3.889679805
4.01311E+13,12495,0,33.5279508,-112.1377173,Alhambra,3.087576975
